,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c559ff6faea1375ab89e79e,,,,,,,-0.9016919768852762,,,,,,,,,,,,,,,,,
5c559ff8faea1375ab89e7a4,,,,,0.20512370765874133,,,,,,,,,,,,,,,,,,,
5c559ff8faea1375ab89e7a7,,,,,,,,,1.0008442236674862,,,1.40323614983883,,1.0940687789264119,,,,,,,,,,
5c559ff9faea1375ab89e7aa,,,,,,,,,,,-0.991268586614555,,,,,,,,,,,,,
5c559ffefaea1375ab89e7bc,,,,,,,,,,,,,,,,,-0.33953145275966445,,,,,,,0.07511118676224626
5c55a001faea1375ab89e7c6,,,,,,,,,,,,,,,,,,,,,,,-0.4758443297906747,
5c55a003faea1375ab89e7ce,,,,,,,,0.24666533609192554,,,,,,,,,,,,,,,,
5c55a009faea1375ab89e7e4,,,,,,,,,,,0.6164480171494926,,,,,,,,,,,,,
5c55a00afaea1375ab89e7e9,,,,,,,,,,,,,,,,,,,,,,,,-0.21381560485527729
5c55a00cfaea1375ab89e7f0,,,,,,,,,,,,,,,,,,-0.47786574052137754,,,,,,
5c55a00dfaea1375ab89e7f2,,,,,,,,,,,,,,,,,-1.1313889828948085,,,,,,,
5c55a00ffaea1375ab89e7fa,,,,,0.40095482679356165,,,,,,,,,,,,,,,,,,,
5c55a011faea1375ab89e802,,,,,,,,,,,,,,,,-0.7731416195918559,,,,,,,,
5c55a012faea1375ab89e804,,,,0.8977152528906713,,,0.5964794555838067,,,,,,,,,,,,,,,,,
5c55a014faea1375ab89e80c,,,,,,,,0.30979421601826784,,,,,,,,,,,,,,,,
5c55a015faea1375ab89e810,,,-0.3014206000177708,,,,,,,0.18430407054779474,,,,,,,,,,,,,,
5c55a016faea1375ab89e813,,,,,,,,,,,,,0.04630010154952213,,,,,,,0.4741438081651186,,,,
5c55a017faea1375ab89e816,,,,,,,,,,,,,,,,,,,,,,,,0.2616104271185451
5c55a019faea1375ab89e81b,,,,,,,,,,,,,,,,,,,,,0.32246472134445003,,,
5c55a01afaea1375ab89e81e,,,,,,,,,,,-0.7083652523821953,,,,,,,,,,,,,
5c55a01afaea1375ab89e820,,0.1494853749903804,,,,,,,,,,,,,,,,,,,,,,
5c55a01cfaea1375ab89e828,,,,,,,,,,,,,,,,,0.17196205527645692,,,,,,,
5c55a01dfaea1375ab89e82c,,,,,,,,,,,,,,,0.015613484101490549,,,,,,,,,
5c55a01ffaea1375ab89e834,,,,,,,,,,,,,,,,,,,,,,,0.30510753708331695,
5c55a023faea1375ab89e840,,,,,,-0.160355751178622,,,,,,,,,,,,,,,,,,
5c55a024faea1375ab89e843,,,,,,,,,,,,,,,,,,,,,,,,-0.5284798939118791
5c55a026faea1375ab89e84a,,,,,,,,0.21820527956793923,,,,,,,,,,,,,,,,
5c55a027faea1375ab89e850,,,,,-0.778646802690298,,,,,,,,,,,,,,,,,,,
5c55a029faea1375ab89e854,,,,,,,,,-0.4422410403613428,,,0.021933969645133278,,0.13424269746960116,,,,,,,,,,
5c55a02afaea1375ab89e858,,,,,,,,,,,0.4629598911220434,,,,,,,,,,,,,
5c55a02bfaea1375ab89e85e,,,,,,,,,,,,,,,,,0.07032693900851505,,,,,,,
5c55a02ffaea1375ab89e86a,,,,,,,0.474674711431077,,,,,,,,,,,,,,,,,
5c55a031faea1375ab89e870,,,,,,,,,,,,,,,,,,,,,,,,-0.41435107367146395
5c55a036faea1375ab89e884,,,,,,,,,,,,,,,,,,-0.19830189308831025,,,,,,
5c55a03ffaea1375ab89e892,,,,,,,,,,,-0.12114681390459925,,,,,,,,,,,,,
5c55a040faea1375ab89e894,,,,,,,,,,,,,,,,,0.4611507627094009,,,,,,,
5c55a042faea1375ab89e89a,,,,,,,,,,,,,,,,,,,,,1.0673169347839409,,,
5c55a042faea1375ab89e89d,,,,-0.22628056508255634,,,,,,,,,,,,,,,,,,,,-0.6986337503414122
5c55a044faea1375ab89e8a2,,,,,,,,,,,,,,,,,,,,,,,0.8521101956914428,
5c55a045faea1375ab89e8a6,,,,,0.36480839306466395,,,,,,,,,,,,,,,,,,,
5c55a047faea1375ab89e8ac,,,-0.7948088601887808,,,,,,,,,,,,,,,,,,,,,
5c55a04dfaea1375ab89e8c0,,0.2628002868002892,,,,,,,,,,,,,,,,,,,,,,
5c55a050faea1375ab89e8ca,,,,,,,,,,,,,,,,,-0.8359482513836181,,,,,,,-0.6048794646054705
5c55a050faea1375ab89e8cc,,,,,,,,,,,0.23354779305550144,,,,,,,,,,,,,
5c55a051faea1375ab89e8cf,,,,,,,,,,,,,,,-0.8302494449869808,,,,,,,,,
5c55a052faea1375ab89e8d0,,,,,,,0.402073582254447,,,,,,,,,,,,,,,,,
5c55a056faea1375ab89e8e0,,,,,,,,,,0.2907456256410028,,,,,,,,,,,,,,
